,units,area
MN99,0,park-cemetery-etc-Manhattan
MN24,10.37,SoHo-TriBeCa-Civic Center-Little Italy
MN11,11.11,Central Harlem South
MN04,13.237,Hamilton Heights
MN23,14.626,West Village
MN03,14.88,Central Harlem North-Polo Grounds
MN17,14.94,Midtown-Midtown South
MN40,15.301,Upper East Side-Carnegie Hill
MN34,15.35,East Harlem North
MN22,15.394,East Village
MN06,18.486,Manhattanville
MN13,21.26,Hudson Yards-Chelsea-Flatiron-Union Square
MN21,23.44,Gramercy
MN12,23.81,Upper West Side
MN36,24.05,Washington Heights South
MN01,24.4518,Marble Hill-Inwood
MN33,25.06,East Harlem South
MN15,26.32,Clinton
MN20,27.80,Murray Hill-Kips Bay
MN35,29.81,Washington Heights North
MN28,31.23,Lower East Side
MN09,31.724,Morningside Heights
MN32,32.003,Yorkville
MN19,33.92,Turtle Bay-East Midtown
MN31,44.02,Lenox Hill-Roosevelt Island
MN14,47.08,Lincoln Square
MN25,49.12,Battery Park City-Lower Manhattan
